1. open,2. high,3. low,4. close,5. volume
51851.46,52076.0,50905.65,51258.7,13104.51408087
51260.29,51512.68,50513.01,50747.05,11679.16625824
50746.98,51696.19,50576.55,51570.65,3448.96576791
51568.63,51967.82,51275.01,51731.0,3617.40106809
51730.96,54980.0,50901.23,54533.48,22422.38763854
54530.32,57646.81,54490.8,57077.07,28791.48651731
57077.08,64100.0,56723.48,62518.9,48265.6721171
62520.06,63675.48,60355.61,61179.03,36825.89535085
61179.03,63267.18,60788.33,62436.72,24696.65692545
62439.74,62500.0,61623.39,62045.78,6882.38410251
62045.78,63260.0,61388.0,63154.49,7314.17629968
63155.74,68602.98,62300.0,68360.14,40600.36656889
68356.7,69324.58,59224.68,63800.78,65575.09537327
63802.15,67654.06,62832.39,66122.28,34653.87884591
66115.48,68098.09,65599.63,66938.21,22228.36739914
66938.21,70199.0,66157.09,68289.16,33749.52797544
68289.16,68700.41,68047.62,68480.0,9005.50992187
68480.01,70000.0,68221.13,69032.12,12163.05713369
69032.8,72943.98,67112.21,72110.98,32332.72583229
72110.98,73027.63,68603.0,71475.93,29420.19277654
71473.43,73709.99,71337.3,73135.04,21455.92195688
73135.04,73835.57,68454.47,71364.58,34226.602618
71364.58,72414.96,65565.7,69506.88,40195.84231178
69514.87,70050.0,64774.05,65254.22,16532.825303
65254.22,68877.82,64505.0,68343.64,12631.85084112
68354.29,68933.71,66562.65,67613.04,20057.37580028
67609.39,68136.39,61506.0,61906.27,40111.97553957
61902.57,68150.0,60771.14,67858.8,38590.78345488
67855.88,68234.56,64525.0,65484.7,18523.96247162
65478.98,66651.1,62258.36,63814.56,17807.65930238
63814.56,66029.09,63013.19,63998.86,7395.08270425
63998.87,67637.6,63785.57,67204.93,6535.8276512
67212.69,71269.92,66381.84,69890.28,22228.13803338
69895.6,71582.96,69269.69,69992.4,15697.73440865
69994.9,71789.85,68369.62,69435.96,18703.73738295
69437.16,71635.99,68841.01,70801.18,15223.15591033
70804.06,70941.7,69036.95,69903.75,7364.3987269
69903.74,70363.25,69569.03,69626.87,3262.62331859
69623.86,71399.91,69587.86,71288.9,4424.66955382
71291.5,71313.8,68055.15,69681.82,13916.60016523
69681.85,69711.0,64521.61,65464.14,23496.46591597
65472.0,66944.06,64500.0,65987.92,14506.55934744
